iter	Passed	Remaining
0	134	134263
1	136	68194
2	138	46188
3	141	35139
4	143	28490
5	145	24076
6	147	20946
7	149	18570
8	151	16706
9	153	15210
10	155	13975
11	157	12952
12	159	12096
13	161	11348
14	163	10706
15	164	10138
16	166	9635
17	168	9191
18	170	8792
19	172	8431
20	173	8104
21	175	7808
22	177	7542
23	179	7294
24	181	7065
25	183	6856
26	184	6662
27	186	6483
28	188	6314
29	190	6159
30	192	6024
31	194	5888
32	196	5755
33	198	5633
34	200	5519
35	202	5412
36	204	5310
37	205	5214
38	207	5123
39	209	5033
40	211	4948
41	213	4866
42	215	4787
43	216	4712
44	218	4640
45	220	4571
46	222	4507
47	224	4445
48	225	4384
49	227	4326
50	229	4271
51	231	4218
52	233	4166
53	234	4116
54	236	4068
55	238	4022
56	240	3982
57	242	3941
58	244	3898
59	246	3858
60	248	3818
61	249	3781
62	251	3743
63	253	3710
64	255	3677
65	257	3644
66	259	3612
67	261	3581
68	263	3550
69	264	3519
70	266	3490
71	268	3462
72	270	3435
73	272	3407
74	274	3380
75	275	3354
76	277	3329
77	279	3304
78	281	3280
79	283	3256
80	284	3232
81	286	3210
82	288	3189
83	290	3167
84	292	3146
85	294	3125
86	295	3104
87	297	3085
88	299	3065
89	301	3048
90	303	3029
91	305	3011
92	306	2993
93	308	2976
94	310	2958
95	312	2942
96	314	2926
97	316	2909
98	318	2900
99	322	2904
100	325	2895
101	329	2901
102	332	2895
103	334	2885
104	337	2876
105	340	2871
106	343	2862
107	345	2851
108	347	2841
109	350	2835
110	352	2824
111	354	2811
112	356	2799
113	358	2785
114	360	2774
115	362	2762
116	364	2751
117	366	2740
118	368	2727
119	370	2715
120	372	2703
121	374	2693
122	376	2683
123	379	2683
124	382	2675
125	384	2667
126	386	2659
127	389	2652
128	395	2673
129	398	2665
130	400	2657
131	402	2647
132	404	2638
133	406	2628
134	408	2620
135	413	2625
136	419	2640
137	423	2643
138	426	2644
139	430	2644
140	434	2644
141	437	2644
142	441	2646
143	446	2654
144	451	2664
145	457	2673
146	460	2672
147	464	2673
148	469	2682
149	475	2695
150	485	2729
151	488	2727
152	493	2731
153	496	2726
154	501	2732
155	504	2730
156	507	2725
157	510	2720
158	514	2719
159	517	2717
160	521	2715
161	524	2711
162	527	2707
163	530	2704
164	533	2702
165	537	2699
166	541	2702
167	546	2708
168	549	2703
169	554	2709
170	557	2703
171	560	2698
172	563	2694
173	567	2695
174	570	2691
175	574	2687
176	577	2685
177	581	2683
178	584	2680
179	587	2677
180	593	2684
181	596	2679
182	598	2673
183	601	2666
184	603	2659
185	605	2651
186	609	2650
187	612	2645
188	615	2640
189	617	2634
190	620	2629
191	624	2629
192	629	2631
193	632	2626
194	636	2625
195	640	2627
196	644	2627
197	647	2623
198	650	2619
199	653	2613
200	656	2609
201	659	2605
202	663	2603
203	667	2605
204	671	2603
205	674	2598
206	676	2592
207	679	2586
208	682	2581
209	684	2574
210	688	2574
211	691	2568
212	693	2561
213	695	2554
214	698	2550
215	701	2545
216	703	2539
217	706	2532
218	708	2526
219	710	2520
220	713	2514
221	715	2508
222	718	2502
223	720	2496
224	722	2490
225	725	2483
226	727	2477
227	729	2471
228	732	2466
229	735	2462
230	738	2457
231	741	2452
232	743	2448
233	746	2443
234	749	2438
235	751	2434
236	754	2429
237	757	2423
238	759	2418
239	762	2413
240	764	2407
241	766	2401
242	768	2395
243	771	2389
244	773	2382
245	775	2377
246	778	2372
247	780	2367
248	784	2365
249	786	2360
250	789	2356
251	791	2350
252	794	2345
253	796	2340
254	799	2334
255	801	2329
256	803	2323
257	806	2318
258	808	2312
259	810	2307
260	812	2301
261	815	2296
262	817	2291
263	819	2285
264	822	2281
265	824	2275
266	827	2271
267	829	2266
268	832	2262
269	835	2258
270	837	2253
271	840	2248
272	842	2243
273	845	2239
274	848	2237
275	851	2233
276	853	2228
277	856	2224
278	859	2220
279	861	2215
280	864	2210
281	866	2205
282	868	2201
283	871	2196
284	873	2191
285	875	2186
286	878	2181
287	880	2176
288	882	2171
289	885	2167
290	887	2162
291	889	2157
292	892	2152
293	894	2147
294	896	2143
295	899	2138
296	901	2133
297	903	2128
298	905	2123
299	908	2118
300	910	2114
301	912	2109
302	915	2106
303	918	2101
304	920	2097
305	922	2093
306	925	2089
307	927	2084
308	930	2080
309	933	2077
310	935	2073
311	938	2069
312	940	2064
313	943	2060
314	945	2056
315	947	2051
316	950	2046
317	952	2043
318	954	2038
319	957	2034
320	959	2029
321	961	2025
322	964	2021
323	966	2016
324	969	2012
325	971	2009
326	974	2005
327	976	2001
328	979	1997
329	981	1993
330	984	1989
331	986	1985
332	988	1980
333	991	1976
334	993	1972
335	995	1968
336	998	1963
337	1000	1959
338	1002	1955
339	1005	1951
340	1007	1947
341	1009	1942
342	1012	1939
343	1014	1935
344	1017	1932
345	1020	1928
346	1022	1924
347	1024	1920
348	1027	1916
349	1029	1912
350	1032	1908
351	1034	1904
352	1036	1900
353	1039	1896
354	1041	1893
355	1044	1889
356	1047	1885
357	1049	1881
358	1051	1877
359	1053	1873
360	1056	1869
361	1058	1865
362	1060	1861
363	1062	1857
364	1065	1852
365	1067	1849
366	1070	1846
367	1073	1842
368	1075	1839
369	1078	1835
370	1080	1832
371	1089	1839
372	1092	1836
373	1094	1832
374	1097	1829
375	1100	1825
376	1102	1821
377	1105	1818
378	1107	1814
379	1110	1811
380	1112	1807
381	1115	1804
382	1117	1800
383	1120	1797
384	1123	1794
385	1125	1790
386	1128	1787
387	1131	1784
388	1133	1780
389	1136	1777
390	1138	1774
391	1141	1770
392	1143	1766
393	1146	1763
394	1149	1760
395	1151	1756
396	1154	1752
397	1156	1749
398	1158	1745
399	1161	1742
400	1163	1738
401	1166	1735
402	1169	1731
403	1171	1728
404	1174	1725
405	1177	1722
406	1179	1719
407	1182	1715
408	1184	1712
409	1187	1709
410	1190	1705
411	1192	1702
412	1195	1698
413	1197	1695
414	1199	1691
415	1202	1687
416	1204	1684
417	1207	1681
418	1210	1677
419	1212	1674
420	1214	1670
421	1217	1667
422	1219	1663
423	1222	1660
424	1225	1657
425	1227	1654
426	1230	1650
427	1232	1647
428	1235	1644
429	1237	1640
430	1240	1637
431	1242	1634
432	1245	1630
433	1247	1627
434	1250	1623
435	1253	1621
436	1256	1618
437	1259	1615
438	1261	1612
439	1264	1609
440	1267	1606
441	1269	1603
442	1272	1599
443	1274	1596
444	1277	1593
445	1279	1589
446	1282	1586
447	1285	1583
448	1287	1580
449	1289	1576
450	1292	1573
451	1295	1570
452	1297	1566
453	1300	1563
454	1302	1560
455	1304	1556
456	1307	1554
457	1310	1550
458	1312	1547
459	1315	1544
460	1318	1541
461	1320	1538
462	1323	1535
